,Index,Laureate,Discipline,Year of award,Affiliation
38,,LIGO Scientific Collaboration,,,
39,,Charles Glover Barkla,Physics,1917,University of Edinburgh
40,,Françoise Barré-Sinoussi,Physiology or Medicine,2008,Pasteur Institute
41,,Derek Barton,Chemistry,1969,Imperial College London
42,,Nikolay Basov,Physics,1964,Lebedev Physical Institute
43,,George Beadle,Physiology or Medicine,1958,California Institute of Technology
44,,Gary Becker,Economics,1992,University of Chicago
45,,Henri Becquerel,Physics,1903,École Polytechnique
46,,Georg Bednorz,Physics,1987,IBM Zurich Research Laboratory
47,,Emil von Behring,Physiology or Medicine,1901,University of Marburg
48,,Georg von Békésy,Physiology or Medicine,1961,Harvard University
49,,Baruj Benacerraf,Physiology or Medicine,1980,Harvard Medical School
50,,Paul Berg,Chemistry,1980,Stanford University
51,,Friedrich Bergius,Chemistry,1931,Heidelberg University
52,,IG Farben,,,
53,,Sune Bergström,Physiology or Medicine,1982,Karolinska Institute
54,,Hans Bethe,Physics,1967,Cornell University
55,,Eric Betzig,Chemistry,2014,Janelia Research Campus
56,,Bruce Beutler,Physiology or Medicine,2011,Scripps Research
57,,University of Texas Southwestern Medical Center,,,
58,,Gerd Binnig,Physics,1986,IBM Zurich Research Laboratory
59,,J. Michael Bishop,Physiology or Medicine,1989,UCSF School of Medicine
60,,James Black,Physiology or Medicine,1988,GKT School of Medical Education
61,,Elizabeth Blackburn,Physiology or Medicine,2009,"University of California, San Francisco"
62,,Patrick Blackett,Physics,1948,Victoria University of Manchester
63,,Günter Blobel,Physiology or Medicine,1999,Howard Hughes Medical Institute
64,,Rockefeller University,,,
65,,Felix Bloch,Physics,1952,Stanford University
66,,Konrad Emil Bloch,Physiology or Medicine,1964,Harvard University
67,,Nicolaas Bloembergen,Physics,1981,Harvard University
68,,Baruch Samuel Blumberg,Physiology or Medicine,1976,Lankenau Institute for Medical Research
69,,Aage Bohr,Physics,1975,Niels Bohr Institute
70,,Niels Bohr,Physics,1922,University of Copenhagen
71,,Jules Bordet,Physiology or Medicine,1919,Université libre de Bruxelles
72,,Max Born,Physics,1954,University of Edinburgh
73,,Carl Bosch,Chemistry,1931,Heidelberg University
74,,IG Farben,,,
75,,Walther Bothe,Physics,1954,Heidelberg University
76,,Max Planck Institute for Medical Research,,,
77,,Daniel Bovet,Physiology or Medicine,1957,Istituto Superiore di Sanità
78,,Paul D. Boyer,Chemistry,1997,"University of California, Los Angeles"
79,,Willard Boyle,Physics,2009,Bell Labs
80,,Lawrence Bragg,Physics,1915,Victoria University of Manchester
81,,William Henry Bragg,Physics,1915,University College London
82,,Walter Houser Brattain,Physics,1956,Bell Labs
83,,Karl Ferdinand Braun,Physics,1909,University of Strasbourg
84,,Sydney Brenner,Physiology or Medicine,2002,Molecular Sciences Institute
85,,Percy Williams Bridgman,Physics,1946,Harvard University
86,,Bertram Brockhouse,Physics,1994,McMaster University
87,,Louis de Broglie,Physics,1929,Institut Henri Poincaré
